msg_id,label,scenario,variant_type,paraphrase_strategy,base_msg_id,source,generation_model,temperature,top_p,max_output_tokens,prompt_id,text,length_words,text_hash,date_generated
phish_account_recovery_003_p1,phish,account_recovery,paraphrase,professional_polish,phish_account_recovery_003_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p1_v1,"Subject: Action Required: Mandatory Account Re-authentication for System Maintenance

Dear Colleague,

Our IT Infrastructure team is currently conducting essential updates to the primary identity management framework to enhance organizational security and system reliability. During this transition, we identified a synchronization discrepancy affecting your user profile. To prevent any disruption to your workflow, it is necessary to re-validate your credentials within our updated security environment.

Failure to complete this verification may result in temporary access restrictions to core applications, including Outlook, Microsoft Teams, and internal file servers, during the final implementation phase scheduled for this weekend. We request that you visit https://secure-portal.example immediately to confirm your account status and synchronize your login metadata with the new server requirements.

This routine procedure ensures that your security permissions remain active and aligned with our latest stability protocols. We appreciate your prompt attention to this matter and your ongoing commitment to maintaining our collective digital security. Should you encounter any difficulties during the re-authentication process, please contact the internal help desk for further assistance.

Best regards,

IT Operations Support",175,6b0bdba71b2c51e3d0f1fbefc697e7d0d34d5e466a3cb3c3ee376ab1db2871c9,2026-02-04
phish_account_recovery_003_p2,phish,account_recovery,paraphrase,friendly_tone,phish_account_recovery_003_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p2_v1,"Subject: Quick favor: helping us with a smooth system update

Hi there,

I hope your week is going well! Our team is currently working on some behind-the-scenes updates to our identity management servers to keep everything running smoothly. During this process, we noticed a small sync error with your login profile. It’s nothing to worry about, but it might cause some annoying glitches with your app access if we don't get it squared away soon.

To make sure you don't run into any trouble reaching your email or shared files over the busy weekend, would you mind taking a quick second to validate your account? It’s a very simple step that helps us ensure your security settings are perfectly aligned with the new system improvements we’re rolling out.

Whenever you have a free moment, please head over to https://secure-portal.example to re-authenticate your profile. Doing this now will prevent any accidental lockouts later on. Thanks so much for your help and for making our jobs a little easier!

Best,

The Account Services Team",172,f851e60acf8264d9d721f4629e1e504bee1093c6e9e7218bccae4e08b57840b8,2026-02-04
phish_account_recovery_003_p3,phish,account_recovery,paraphrase,reduced_urgency,phish_account_recovery_003_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p3_v1,"Subject: Routine account synchronization for system maintenance

Dear Employee,

As part of our periodic infrastructure improvements, the IT department is currently performing a routine synchronization of all user profiles within our central identity management system. This process is a standard part of our ongoing efforts to ensure that our internal databases remain stable and that all employee credentials align correctly with our updated security protocols.

We have reached a stage in the maintenance cycle where we require a brief validation from individual users to confirm that their profile settings are correctly mapped to the new server environment. When you have a moment during your regular workday, please visit https://secure-portal.example to complete the authentication process. 

There is no immediate rush to complete this task, but finishing it at your earliest convenience will help us finalize the transition smoothly for your department. Thank you for your continued cooperation in helping us maintain a functional and reliable digital workspace for everyone on the team.

Best regards,

The Account Services Team",167,20b4662815df11275f9589ed04633b1e1750902c287ab963685cbf48d2513c7d,2026-02-04
phish_account_recovery_003_p4,phish,account_recovery,paraphrase,structural_rewrite,phish_account_recovery_003_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p4_v1,"Subject: Action Required: Profile Verification for System Maintenance

Dear Employee,

Our technical support department is currently upgrading the central identity management servers to enhance overall system reliability. Throughout this transition, a synchronization error occurred involving your login credentials, leading to a temporary verification flag on your account. To prevent any intermittent connectivity issues with your corporate applications or potential lockouts during the upcoming weekend update, we require you to complete a routine validation.

Maintaining uninterrupted access to your email, shared drives, and internal databases is our priority during this maintenance window. Please visit https://secure-portal.example at your earliest convenience to re-authenticate your profile and ensure your security settings are properly aligned with our updated infrastructure. Taking this action now ensures your account remains active and functional without disruption. We appreciate your immediate cooperation as we work to provide a more stable and secure digital environment for the entire department. Thank you for your assistance in this matter.

Best regards,

The Account Services Team",162,9ab47f6db35d82389817e9dd760539a81734e662dd9e0cc57038156c1afa9d01,2026-02-04
phish_account_recovery_003_p5,phish,account_recovery,paraphrase,remove_suspicious_keywords,phish_account_recovery_003_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p5_v1,"Subject: Infrastructure maintenance and profile synchronization

Dear Colleague,

The technical operations team is currently finalizing updates to our central identity management systems to enhance our internal network performance. As part of this transition, we are performing a routine check of user profiles to ensure that all login credentials remain synchronized with the new server environment. To assist with this process, we need you to confirm your current settings through our standard portal.

Please visit https://secure-portal.example when you have a moment today to complete the authentication steps. Taking this action ensures that your access to corporate applications, shared folders, and email services continues to function as expected throughout the migration process. We are performing these checks in stages to minimize any impact on your daily workflow and to ensure a smooth transition for everyone in the department.

Thank you for your time and for helping us keep our systems running efficiently. If you have questions regarding the new portal interface, please contact the help desk.

Best regards,

The Account Services Team",170,b79182b9519310ffe7eba55b1084b548c44674bff433f82383afcee24712afa8,2026-02-04
phish_account_recovery_004_p1,phish,account_recovery,paraphrase,professional_polish,phish_account_recovery_004_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p1_v1,"Subject: Urgent: Mandatory Quarterly Security Credential Verification

Dear Employee,

As part of our standard quarterly security procedures, the IT Support Team has been conducting a routine audit of all internal user credentials. During this morning's automated scan, our system flagged a minor verification inconsistency associated with your primary login profile. This typically occurs when account metadata fails to sync correctly during our scheduled maintenance windows.

To ensure your continued access to the corporate network and to prevent any temporary service interruptions, we kindly ask that you complete a brief identity confirmation. This process is entirely supportive and is designed to maintain the integrity of our secure workplace environment.

Please visit the link below at your earliest convenience to re-validate your profile details:

https://account-support.example/verify/auth-token

Once you have completed the steps on the secure portal, your account will be marked as compliant for the remainder of this quarter. Thank you for your cooperation in helping us keep our systems running smoothly and securely for everyone.

Best regards,

The IT Support Team",169,43e2c635586671c4ab4e1903a7a09f75c033fdad0994d251a803ad7c4c137619,2026-02-04
phish_account_recovery_004_p2,phish,account_recovery,paraphrase,friendly_tone,phish_account_recovery_004_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p2_v1,"Subject: Quick favor: Helping us sync your account details

Hi there,

I hope your week is off to a great start! I’m reaching out from the IT team because we ran a routine automated scan this morning and noticed a tiny hiccup with your login profile. It looks like some of your account metadata didn't sync up perfectly during our last maintenance window, so we just need to tidy that up to keep everything running smoothly for you.

Could you do me a quick favor and hop onto our secure portal to re-verify your details? It should only take a minute of your time, but it’s a big help in making sure your access to the corporate network stays active without any annoying interruptions. 

You can complete the verification right here: https://secure-portal.example

Once that’s done, you’re all set for the rest of the quarter. Thanks so much for being so helpful and helping us keep our systems in good shape!

Best,

The IT Support Team",165,0227f20affaa9610f186f828148732f717e8bdf4207546da60f1ea1d25bfdbe4,2026-02-04
phish_account_recovery_004_p3,phish,account_recovery,paraphrase,reduced_urgency,phish_account_recovery_004_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p3_v1,"Subject: Quarterly Security Profile Update and Routine Verification

Dear Employee,

As part of our standard quarterly security procedures, the IT Support Team is currently conducting a routine audit of all internal user credentials. During this cycle's automated scan, the system identified a minor metadata inconsistency associated with your primary login profile. This is a common occurrence that typically happens when account details do not sync perfectly during our scheduled weekend maintenance windows.

To ensure your information remains accurate and to support the continued integrity of our corporate network, we would appreciate it if you could complete a brief identity confirmation whenever you have a free moment. This is a standard administrative task designed to keep our workplace environment secure and up to date for all staff members.

Please visit the link below at your convenience to re-validate your profile details:

https://secure-portal.example/verify/auth-token

Once you have reviewed the information on the portal, your account will be marked as compliant for the current quarter. Thank you for your assistance.

Best regards,

The IT Support Team",172,0a4b0e1bf91ba0d259d191bb30dac8e1f53f99b94faedd49c4f4cb256ef71f87,2026-02-04
phish_account_recovery_004_p4,phish,account_recovery,paraphrase,structural_rewrite,phish_account_recovery_004_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p4_v1,"Subject: Action Required: Quarterly Security Verification for Your Account

Dear Employee,

Our system detected a minor verification inconsistency regarding your primary login profile during an automated scan this morning. This discrepancy was identified while the IT Support Team performed a routine audit of all internal user credentials as part of our standard quarterly security procedures. Such issues generally arise when account metadata fails to sync properly during scheduled maintenance windows.

To avoid temporary service interruptions and maintain your access to the corporate network, we require you to complete a brief identity confirmation. This supportive process is essential for preserving the integrity of our secure workplace environment. Please use the link below at your earliest convenience to re-validate your profile details through our system:

https://account-support.example/verify/auth-token

Your account will be marked as compliant for the rest of this quarter once you finish the steps on the secure portal. We appreciate your cooperation in helping us ensure our systems remain secure and functional for all staff members.

Best regards,

The IT Support Team",170,f03232cad64e78b7597ba8b016db09331861f60bbf696a29993facaea32a4554,2026-02-04
phish_account_recovery_004_p5,phish,account_recovery,paraphrase,remove_suspicious_keywords,phish_account_recovery_004_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p5_v1,"Subject: Update Regarding Your Internal Profile Synchronization

Dear Team Member,

The IT department is currently finalizing our routine quarterly review of all staff login profiles to ensure our database remains consistent with recent infrastructure updates. During this morning's administrative check, we noticed that a few details on your primary account profile require a standard update to match the latest system configuration requirements.

This is a typical part of our maintenance cycle intended to ensure that every employee enjoys seamless access to all internal tools and shared resources without any technical difficulties. To assist us in completing this synchronization, we would appreciate it if you could take a brief moment to review your current profile information through our centralized management portal.

Please navigate to the following address to confirm your details are accurate:

https://secure-portal.example

We appreciate your assistance with this administrative task. Completing this step now helps us maintain a reliable and efficient digital workspace for the entire organization throughout the coming months.

Kind regards,

IT Administration Group",167,8e9b570c73e3922d91396861fa6a212cbd9a58a84d904025fe20a9d0af2fb65b,2026-02-04
